Photon    Tot. wo/ 
Energy    Coherent 

1.000E-03 9.225E+03 
1.032E-03 8.639E+03 
1.065E-03 8.331E+03 
1.069E-03 8.273E+03 
1.072E-03 8.381E+03 
1.142E-03 7.319E+03 
1.217E-03 6.548E+03 
1.500E-03 4.124E+03 
2.000E-03 2.106E+03 
3.000E-03 7.814E+02 
4.000E-03 3.779E+02 
4.557E-03 5.125E+02 
4.702E-03 4.782E+02 
4.852E-03 5.584E+02 
5.000E-03 5.246E+02 
5.012E-03 7.457E+02 
5.099E-03 7.135E+02 
5.188E-03 7.399E+02 
5.273E-03 7.106E+02 
5.359E-03 7.872E+02 
5.534E-03 7.267E+02 
5.714E-03 7.216E+02 
6.000E-03 6.405E+02 
8.000E-03 3.036E+02 
1.000E-02 1.683E+02 
1.500E-02 5.628E+01 
2.000E-02 2.552E+01 
3.000E-02 8.283E+00 
3.317E-02 2.056E+01 
3.455E-02 1.848E+01 
3.598E-02 2.968E+01 
4.000E-02 2.247E+01 
5.000E-02 1.252E+01 
6.000E-02 7.657E+00 
8.000E-02 3.514E+00 
1.000E-01 1.925E+00 
