density: 0.0012 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 3.577E+03 3.578E+03 3.577E+03 
1.500E-03 1.179E+03 1.180E+03 1.179E+03 
2.000E-03 5.219E+02 5.230E+02 5.219E+02 
3.000E-03 1.599E+02 1.608E+02 1.600E+02 
3.203E-03 1.317E+02 1.326E+02 1.317E+02 
3.203E-03 1.427E+02 1.435E+02 1.427E+02 
4.000E-03 7.426E+01 7.500E+01 7.434E+01 
5.000E-03 3.808E+01 3.868E+01 3.817E+01 
6.000E-03 2.192E+01 2.244E+01 2.202E+01 
8.000E-03 9.070E+00 9.483E+00 9.192E+00 
1.000E-02 4.537E+00 4.888E+00 4.669E+00 
1.500E-02 1.265E+00 1.542E+00 1.412E+00 
2.000E-02 5.052E-01 7.474E-01 6.610E-01 
3.000E-02 1.365E-01 3.447E-01 2.991E-01 
4.000E-02 5.351E-02 2.447E-01 2.168E-01 
5.000E-02 2.579E-02 2.060E-01 1.872E-01 
6.000E-02 1.418E-02 1.864E-01 1.729E-01 
8.000E-02 5.514E-03 1.658E-01 1.579E-01 
1.000E-01 2.651E-03 1.539E-01 1.487E-01 
1.500E-01 7.061E-04 1.355E-01 1.332E-01 
2.000E-01 2.806E-04 1.233E-01 1.220E-01 
3.000E-01 7.965E-05 1.068E-01 1.062E-01 
4.000E-01 3.420E-05 9.551E-02 9.517E-02 
5.000E-01 1.847E-05 8.714E-02 8.692E-02 
6.000E-01 1.151E-05 8.058E-02 8.042E-02 
8.000E-01 5.816E-06 7.076E-02 7.067E-02 
1.000E+00 3.616E-06 6.360E-02 6.354E-02 
