density: 2.6989 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 1.183E+03 1.185E+03 1.183E+03 
1.500E-03 4.002E+02 4.023E+02 4.002E+02 
1.560E-03 3.600E+02 3.621E+02 3.600E+02 
1.561E-03 3.955E+03 3.957E+03 3.955E+03 
2.000E-03 2.261E+03 2.263E+03 2.261E+03 
3.000E-03 7.865E+02 7.881E+02 7.866E+02 
4.000E-03 3.591E+02 3.605E+02 3.592E+02 
5.000E-03 1.922E+02 1.934E+02 1.923E+02 
6.000E-03 1.143E+02 1.153E+02 1.143E+02 
8.000E-03 4.950E+01 5.032E+01 4.960E+01 
1.000E-02 2.556E+01 2.621E+01 2.566E+01 
1.500E-02 7.515E+00 7.955E+00 7.641E+00 
2.000E-02 3.100E+00 3.442E+00 3.237E+00 
3.000E-02 8.722E-01 1.128E+00 1.019E+00 
4.000E-02 3.504E-01 5.684E-01 4.998E-01 
5.000E-02 1.718E-01 3.681E-01 3.214E-01 
6.000E-02 9.564E-02 2.778E-01 2.440E-01 
8.000E-02 3.783E-02 2.018E-01 1.817E-01 
1.000E-01 1.840E-02 1.704E-01 1.572E-01 
1.500E-01 4.993E-03 1.378E-01 1.317E-01 
2.000E-01 2.002E-03 1.223E-01 1.188E-01 
3.000E-01 5.743E-04 1.042E-01 1.026E-01 
4.000E-01 2.480E-04 9.276E-02 9.187E-02 
5.000E-01 1.344E-04 8.445E-02 8.388E-02 
6.000E-01 8.401E-05 7.802E-02 7.762E-02 
8.000E-01 4.252E-05 6.841E-02 6.818E-02 
1.000E+00 2.643E-05 6.146E-02 6.132E-02 
