density:19.302 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 4.641E+03 4.653E+03 4.641E+03 
1.500E-03 2.077E+03 2.089E+03 2.077E+03 
2.000E-03 1.125E+03 1.137E+03 1.125E+03 
2.206E-03 9.827E+02 9.937E+02 9.827E+02 
2.248E-03 1.475E+03 1.486E+03 1.475E+03 
2.291E-03 2.347E+03 2.358E+03 2.347E+03 
2.507E-03 2.267E+03 2.278E+03 2.267E+03 
2.743E-03 2.529E+03 2.539E+03 2.529E+03 
3.000E-03 2.039E+03 2.049E+03 2.039E+03 
3.148E-03 1.923E+03 1.933E+03 1.923E+03 
3.283E-03 1.740E+03 1.750E+03 1.740E+03 
3.425E-03 1.642E+03 1.652E+03 1.642E+03 
4.000E-03 1.135E+03 1.144E+03 1.135E+03 
5.000E-03 6.580E+02 6.660E+02 6.580E+02 
6.000E-03 4.180E+02 4.252E+02 4.180E+02 
8.000E-03 2.013E+02 2.072E+02 2.013E+02 
1.000E-02 1.132E+02 1.181E+02 1.133E+02 
1.192E-02 1.829E+02 1.870E+02 1.829E+02 
1.279E-02 1.510E+02 1.549E+02 1.511E+02 
1.373E-02 1.729E+02 1.764E+02 1.729E+02 
1.404E-02 1.639E+02 1.674E+02 1.640E+02 
1.435E-02 1.796E+02 1.830E+02 1.797E+02 
1.500E-02 1.605E+02 1.637E+02 1.605E+02 
2.000E-02 7.650E+01 7.881E+01 7.657E+01 
3.000E-02 2.611E+01 2.752E+01 2.620E+01 
4.000E-02 1.201E+01 1.298E+01 1.210E+01 
5.000E-02 6.537E+00 7.258E+00 6.634E+00 
6.000E-02 3.962E+00 4.529E+00 4.062E+00 
8.000E-02 1.790E+00 2.185E+00 1.892E+00 
8.072E-02 8.512E+00 8.902E+00 8.613E+00 
1.000E-01 4.855E+00 5.158E+00 4.956E+00 
