density: 1.848 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 6.035E+02 6.042E+02 6.036E+02 
1.500E-03 1.792E+02 1.797E+02 1.792E+02 
2.000E-03 7.424E+01 7.470E+01 7.429E+01 
3.000E-03 2.090E+01 2.127E+01 2.098E+01 
4.000E-03 8.366E+00 8.685E+00 8.452E+00 
5.000E-03 4.081E+00 4.369E+00 4.176E+00 
6.000E-03 2.259E+00 2.528E+00 2.363E+00 
8.000E-03 8.821E-01 1.124E+00 9.983E-01 
1.000E-02 4.229E-01 6.466E-01 5.491E-01 
1.500E-02 1.101E-01 3.070E-01 2.512E-01 
2.000E-02 4.207E-02 2.251E-01 1.897E-01 
3.000E-02 1.077E-02 1.792E-01 1.615E-01 
4.000E-02 4.080E-03 1.640E-01 1.534E-01 
5.000E-02 1.919E-03 1.554E-01 1.485E-01 
6.000E-02 1.039E-03 1.493E-01 1.444E-01 
8.000E-02 3.936E-04 1.401E-01 1.372E-01 
1.000E-01 1.859E-04 1.328E-01 1.310E-01 
