density: 10.28 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 4.936E+03 4.943E+03 4.936E+03 
1.500E-03 1.918E+03 1.925E+03 1.918E+03 
2.000E-03 9.535E+02 9.596E+02 9.535E+02 
2.519E-03 5.359E+02 5.416E+02 5.359E+02 
2.520E-03 1.973E+03 1.979E+03 1.973E+03 
2.572E-03 1.855E+03 1.861E+03 1.855E+03 
2.624E-03 1.744E+03 1.750E+03 1.744E+03 
2.625E-03 2.427E+03 2.433E+03 2.427E+03 
2.743E-03 2.179E+03 2.184E+03 2.179E+03 
2.864E-03 1.956E+03 1.961E+03 1.956E+03 
2.865E-03 2.237E+03 2.243E+03 2.237E+03 
3.000E-03 2.006E+03 2.011E+03 2.006E+03 
4.000E-03 9.660E+02 9.706E+02 9.661E+02 
5.000E-03 5.410E+02 5.450E+02 5.411E+02 
6.000E-03 3.336E+02 3.372E+02 3.337E+02 
8.000E-03 1.537E+02 1.566E+02 1.538E+02 
1.000E-02 8.342E+01 8.576E+01 8.349E+01 
1.500E-02 2.700E+01 2.854E+01 2.709E+01 
2.000E-02 1.200E+01 1.308E+01 1.209E+01 
2.001E-02 7.846E+01 7.955E+01 7.856E+01 
2.002E-02 7.846E+01 7.955E+01 7.856E+01 
3.000E-02 2.743E+01 2.810E+01 2.754E+01 
4.000E-02 1.246E+01 1.294E+01 1.258E+01 
5.000E-02 6.666E+00 7.040E+00 6.785E+00 
6.000E-02 3.966E+00 4.274E+00 4.086E+00 
8.000E-02 1.728E+00 1.962E+00 1.848E+00 
1.000E-01 9.007E-01 1.096E+00 1.018E+00 
1.500E-01 2.732E-01 4.208E-01 3.834E-01 
2.000E-01 1.175E-01 2.423E-01 2.204E-01 
3.000E-01 3.665E-02 1.379E-01 1.277E-01 
4.000E-01 1.661E-02 1.047E-01 9.890E-02 
5.000E-01 9.265E-03 8.848E-02 8.471E-02 
6.000E-01 5.892E-03 7.851E-02 7.588E-02 
8.000E-01 3.030E-03 6.619E-02 6.470E-02 
1.000E+00 1.888E-03 5.837E-02 5.741E-02 
