density: 1.19 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 2.792E+03 2.794E+03 2.792E+03 
1.500E-03 9.143E+02 9.153E+02 9.143E+02 
2.000E-03 4.027E+02 4.037E+02 4.028E+02 
3.000E-03 1.228E+02 1.236E+02 1.229E+02 
4.000E-03 5.184E+01 5.247E+01 5.194E+01 
5.000E-03 2.628E+01 2.681E+01 2.639E+01 
6.000E-03 1.499E+01 1.545E+01 1.511E+01 
8.000E-03 6.114E+00 6.494E+00 6.255E+00 
1.000E-02 3.025E+00 3.357E+00 3.176E+00 
1.500E-02 8.278E-01 1.101E+00 9.943E-01 
2.000E-02 3.263E-01 5.714E-01 5.004E-01 
3.000E-02 8.668E-02 3.032E-01 2.660E-01 
4.000E-02 3.360E-02 2.350E-01 2.123E-01 
5.000E-02 1.606E-02 2.074E-01 1.922E-01 
6.000E-02 8.773E-03 1.924E-01 1.815E-01 
8.000E-02 3.378E-03 1.751E-01 1.687E-01 
1.000E-01 1.613E-03 1.641E-01 1.599E-01 
