density: 12.38 g/cm^3
MeV cm^2/g
Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 6.162E+03 6.170E+03 6.162E+03 
1.500E-03 2.419E+03 2.426E+03 2.419E+03 
2.000E-03 1.207E+03 1.214E+03 1.207E+03 
3.000E-03 4.384E+02 4.442E+02 4.384E+02 
3.003E-03 4.369E+02 4.427E+02 4.369E+02 
3.004E-03 1.508E+03 1.513E+03 1.508E+03 
3.074E-03 1.416E+03 1.422E+03 1.416E+03 
3.145E-03 1.332E+03 1.338E+03 1.332E+03 
3.146E-03 1.841E+03 1.847E+03 1.841E+03 
3.276E-03 1.666E+03 1.671E+03 1.666E+03 
3.411E-03 1.507E+03 1.512E+03 1.507E+03 
3.412E-03 1.726E+03 1.731E+03 1.726E+03 
4.000E-03 1.165E+03 1.170E+03 1.165E+03 
5.000E-03 6.543E+02 6.586E+02 6.543E+02 
6.000E-03 4.063E+02 4.101E+02 4.063E+02 
8.000E-03 1.884E+02 1.915E+02 1.885E+02 
1.000E-02 1.028E+02 1.053E+02 1.028E+02 
1.500E-02 3.350E+01 3.517E+01 3.359E+01 
2.000E-02 1.495E+01 1.614E+01 1.505E+01 
2.321E-02 9.796E+00 1.079E+01 9.895E+00 
2.322E-02 6.314E+01 6.413E+01 6.324E+01 
3.000E-02 3.258E+01 3.330E+01 3.269E+01 
4.000E-02 1.492E+01 1.544E+01 1.504E+01 
5.000E-02 8.047E+00 8.447E+00 8.164E+00 
6.000E-02 4.820E+00 5.148E+00 4.939E+00 
8.000E-02 2.118E+00 2.365E+00 2.237E+00 
1.000E-01 1.111E+00 1.314E+00 1.228E+00 
