Photon    Photoel. Tot. w/  Tot. wo/ 
Energy    Absorb.  Coherent Coherent 

1.000E-03 9.225E+03 9.234E+03 9.225E+03 
1.032E-03 8.639E+03 8.647E+03 8.639E+03 
1.065E-03 8.331E+03 8.339E+03 8.331E+03 
1.069E-03 8.273E+03 8.282E+03 8.273E+03 
1.072E-03 8.381E+03 8.389E+03 8.381E+03 
1.142E-03 7.319E+03 7.328E+03 7.319E+03 
1.217E-03 6.548E+03 6.556E+03 6.548E+03 
1.500E-03 4.124E+03 4.132E+03 4.124E+03 
2.000E-03 2.106E+03 2.114E+03 2.106E+03 
3.000E-03 7.814E+02 7.879E+02 7.814E+02 
4.000E-03 3.779E+02 3.836E+02 3.779E+02 
4.557E-03 5.125E+02 5.178E+02 5.125E+02 
4.702E-03 4.782E+02 4.834E+02 4.782E+02 
4.852E-03 5.584E+02 5.635E+02 5.584E+02 
5.000E-03 5.246E+02 5.296E+02 5.246E+02 
5.012E-03 7.457E+02 7.507E+02 7.457E+02 
5.099E-03 7.135E+02 7.184E+02 7.135E+02 
5.188E-03 7.399E+02 7.448E+02 7.399E+02 
5.273E-03 7.105E+02 7.154E+02 7.106E+02 
5.359E-03 7.871E+02 7.919E+02 7.872E+02 
5.534E-03 7.267E+02 7.314E+02 7.267E+02 
5.714E-03 7.215E+02 7.262E+02 7.216E+02 
6.000E-03 6.404E+02 6.449E+02 6.405E+02 
8.000E-03 3.036E+02 3.071E+02 3.036E+02 
1.000E-02 1.682E+02 1.711E+02 1.683E+02 
1.500E-02 5.621E+01 5.816E+01 5.628E+01 
2.000E-02 2.544E+01 2.686E+01 2.552E+01 
3.000E-02 8.185E+00 9.045E+00 8.283E+00 
3.317E-02 2.046E+01 2.122E+01 2.056E+01 
3.455E-02 1.838E+01 1.910E+01 1.848E+01 
3.598E-02 2.958E+01 3.026E+01 2.968E+01 
4.000E-02 2.237E+01 2.297E+01 2.247E+01 
5.000E-02 1.241E+01 1.287E+01 1.252E+01 
6.000E-02 7.547E+00 7.921E+00 7.657E+00 
8.000E-02 3.404E+00 3.677E+00 3.514E+00 
1.000E-01 1.816E+00 2.035E+00 1.925E+00 
